,Year,Month,Day,State,Latitude,Longitude,Suburb
2282,2002,9,13,Queensland,-13.807778,143.146944,Coen
2283,2015,9,9,Queensland,-13.042788,142.875825,Archer River
2284,1979,1,1,Queensland,-13.731667,143.109444,Coen
2285,2001,4,26,Queensland,-25.91,152.88,Tin Can Bay
2286,1974,1,1,Queensland,-20.848333,144.201111,Hughenden
2287,2006,7,21,Queensland,-20.923622,147.795785,Newlands (Qld)
2288,2001,2,17,Queensland,-18.122778,144.818889,Forty Mile
2289,1994,4,1,Queensland,-20.0428,148.4457,Coral Sea
2290,1993,9,8,Queensland,-26.573406,153.009392,Maroochy River
2291,1993,4,25,Queensland,-27.406737,152.992733,Everton Park
2292,1980,1,1,Queensland,-17.098333,145.784444,Gordonvale
2293,2020,2,18,Queensland,-26.220558,152.14216,Kinbombi
2294,1979,1,1,Queensland,-27.173333,152.034444,Pierces Creek
2295,1993,7,12,Queensland,-12.710161,143.323283,Iron Range
2296,1993,3,17,Queensland,-27.523402,153.209397,Capalaba
2297,2013,2,12,Queensland,-27.05811,153.178431,Woorim
2298,2014,3,26,Queensland,-23.639737,150.696502,Bajool
2299,1940,1,1,Queensland,-25.006667,152.167778,Pine Creek (Qld)
2300,2014,6,13,Queensland,-26.896798,151.284398,Jimbour East
2301,2016,2,15,Queensland,-20.66254,145.67928,Campaspe
2302,2015,12,8,Queensland,-16.589651,145.227153,Mount Carbine
2303,1991,9,1,Queensland,-19.448333,146.517778,Hervey Range
2304,1974,1,1,Queensland,-18.748333,144.617778,Conjuboy
2305,1999,3,5,Queensland,-25.485539,149.66082,Broadmere
2306,1973,1,1,Queensland,-26.648333,149.767778,Dulacca
2307,2018,2,16,Queensland,-26.400143,153.0469,Tewantin
2308,1971,1,1,Queensland,-26.4775,151.021944,Burra Burri
2309,2003,6,21,Queensland,-13.936765,143.555682,Coen
2310,1997,11,28,Queensland,-26.563645,152.866515,Gheerulla
2311,1948,1,1,Queensland,-25.515,152.684444,Maryborough (Qld)
2312,1996,5,4,Queensland,-27.152222,152.976389,Burpengary
2313,1993,4,15,Queensland,-28.290071,152.726079,Mount Barney
2314,1995,7,1,Queensland,-19.460397,146.729438,Ross River
2315,1979,1,1,Queensland,-20.598333,143.084444,Burleigh
2316,2014,2,25,Queensland,-26.34896,150.12375,Gurulmundi
2317,2003,6,22,Queensland,-13.936765,143.555682,Coen
2318,1980,1,1,Queensland,-27.598333,151.901111,Drayton
2319,1973,1,1,Queensland,-26.531667,151.834444,Kingaroy
2320,1994,5,13,Queensland,-21.236788,148.727258,Pinnacle (Qld)
2321,1978,1,1,Queensland,-26.740073,152.859396,North Maleny
2322,1994,10,1,Queensland,-25.044249,152.080226,Bungadoo
2323,1974,1,1,Queensland,-26.215,151.734444,Keysland
2324,2011,4,17,Queensland,-19.50801,139.38411,Gunpowder
2325,2013,5,24,Queensland,-16.557625,145.130542,Mount Carbine
2326,1992,8,26,Queensland,-27.690077,152.059418,Rockmount
2327,2016,9,10,Queensland,-16.510945,145.032158,Mount Carbine
2328,2013,10,27,Queensland,-27.681666,152.020816,Rockmount
2329,1993,11,24,Queensland,-27.34007,153.076064,Boondall
