,Year,Month,Day,State,Latitude,Longitude,postcode,state_code,Suburb,combined_location
12883,2014,1,1,Northern Territory,-12.979561,130.962069,822,Northern Territory,Finniss Valley,"Finniss Valley, 822, Northern Territory"
12884,2014,8,9,Northern Territory,-14.15849,134.46382,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12885,2013,3,15,Northern Territory,-12.68932,132.39794,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12886,2013,8,15,Northern Territory,-14.21373,134.58018,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12887,2013,8,15,Northern Territory,-14.21373,134.58018,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12888,2014,6,21,Northern Territory,-16.805449,137.249199,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12889,2014,1,1,Northern Territory,-12.979561,130.962069,822,Northern Territory,Finniss Valley,"Finniss Valley, 822, Northern Territory"
12890,2017,4,26,Northern Territory,-14.30737,132.39972,852,Northern Territory,Nitmiluk,"Nitmiluk, 852, Northern Territory"
12891,2014,8,9,Northern Territory,-14.214767,134.477046,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12892,2014,6,29,Northern Territory,-16.72548,137.42113,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12893,2016,7,13,Northern Territory,-16.067695,137.280138,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12894,2014,1,1,Northern Territory,-12.979561,130.962069,822,Northern Territory,Finniss Valley,"Finniss Valley, 822, Northern Territory"
12895,2013,8,15,Northern Territory,-14.042665,134.272629,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12896,1986,6,2,Northern Territory,-17.348546,137.084513,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12897,2014,2,7,Northern Territory,-12.569,130.94203,822,Northern Territory,Wickham,"Wickham, 822, Northern Territory"
12898,2009,8,15,Northern Territory,-15.74974,136.98269,852,Northern Territory,Pellew Islands,"Pellew Islands, 852, Northern Territory"
12899,2016,10,12,Northern Territory,-13.001977,132.614963,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12900,2014,11,5,Northern Territory,-14.326338,134.916674,852,Northern Territory,Wilton,"Wilton, 852, Northern Territory"
12901,2016,8,26,Northern Territory,-14.129933,134.473961,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12902,2022,2,5,Northern Territory,-15.31077,132.86639,852,Northern Territory,Sturt Plateau,"Sturt Plateau, 852, Northern Territory"
12903,2019,5,30,Northern Territory,-13.513,132.50748,852,Northern Territory,Gulung Mardrulk,"Gulung Mardrulk, 852, Northern Territory"
12904,2014,8,10,Northern Territory,-14.146668,134.465851,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12905,2017,5,5,Northern Territory,-15.701935,131.342184,852,Northern Territory,Gregory,"Gregory, 852, Northern Territory"
12906,2014,4,14,Northern Territory,-12.62018,132.36582,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12907,2015,6,25,Northern Territory,-12.607298,132.427787,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12908,2015,6,23,Northern Territory,-16.0425,130.41512,852,Northern Territory,Gregory,"Gregory, 852, Northern Territory"
12909,2016,7,13,Northern Territory,-16.60216,137.47276,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12910,2017,3,27,Northern Territory,-12.469597,133.740014,822,Northern Territory,West Arnhem,"West Arnhem, 822, Northern Territory"
12911,2016,10,19,Northern Territory,-12.841942,132.912403,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12912,2009,2,24,Northern Territory,-12.41025,130.94422,828,Northern Territory,Knuckey Lagoon,"Knuckey Lagoon, 828, Northern Territory"
12913,2017,7,22,Northern Territory,-17.06591,137.90973,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12914,2013,6,15,Northern Territory,-12.62071,132.36327,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12915,2010,10,13,Northern Territory,-13.04865,132.70189,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12916,2010,7,8,Northern Territory,-13.929901,131.194259,822,Northern Territory,Douglas-Daly,"Douglas-Daly, 822, Northern Territory"
12917,2014,7,6,Northern Territory,-16.810585,137.531128,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
12918,2010,4,23,Northern Territory,-12.4165,130.70586,822,Northern Territory,Cox Peninsula,"Cox Peninsula, 822, Northern Territory"
12919,2021,8,20,Northern Territory,-14.87232,133.11101,852,Northern Territory,Elsey,"Elsey, 852, Northern Territory"
12920,2016,8,10,Northern Territory,-14.2675,134.43953,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12921,2013,8,16,Northern Territory,-14.184983,134.6111,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12922,2009,1,8,Northern Territory,-12.55062,131.08,822,Northern Territory,McMinns Lagoon,"McMinns Lagoon, 822, Northern Territory"
12923,2014,8,10,Northern Territory,-14.146668,134.465851,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
12924,2008,9,9,Northern Territory,-14.2591,129.87341,822,Northern Territory,Thamarrurr,"Thamarrurr, 822, Northern Territory"
12925,2017,6,20,Northern Territory,-12.695837,133.318224,822,Northern Territory,West Arnhem,"West Arnhem, 822, Northern Territory"
12926,2007,7,15,Northern Territory,-13.709058,131.206772,822,Northern Territory,Douglas-Daly,"Douglas-Daly, 822, Northern Territory"
12927,2016,9,14,Northern Territory,-13.557681,132.362494,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
12928,2015,3,1,Northern Territory,-13.758719,131.825498,847,Northern Territory,Pine Creek,"Pine Creek, 847, Northern Territory"
